ORIGIN_ORGANISATION_NUMBER,BUSINESS_ORGANISATION_NUMBER,DAY_DATE,WEEK_ID,YEAR_ID,CREATED_TIMESTAMP,LOADED_TIMESTAMP
1,17,2009-12-30,48,2009,2021-02-22 18:02:23.603,2021-03-04 14:09:43.944
1,17,2016-07-09,23,2016,2021-02-22 18:02:23.603,2021-03-04 14:09:43.944
1,17,2021-01-02,48,2020,2021-02-22 18:02:23.603,2021-03-04 14:09:43.944
1,17,2009-04-28,13,2009,2021-02-22 18:02:23.603,2021-03-04 14:09:43.944
1,17,2012-06-26,22,2012,2021-02-22 18:02:23.603,2021-03-04 14:09:43.944
1,17,2009-12-17,46,2009,2021-02-22 18:02:23.603,2021-03-04 14:09:43.944
1,17,2014-02-02,52,2013,2021-02-22 18:02:23.603,2021-03-04 14:09:43.944
1,17,2012-02-22,4,2012,2021-02-22 18:02:23.603,2021-03-04 14:09:43.944
1,17,2020-03-27,8,2020,2021-02-22 18:02:23.603,2021-03-04 14:09:43.944
1,17,2011-04-09,10,2011,2021-02-22 18:02:23.603,2021-03-04 14:09:43.944