DAY_DATE,YEAR,MONTH,MONTH_NAME,DAY_OF_MONTH,DAY_OF_WEEK,WEEK_OF_YEAR,DAY_OF_YEAR,CREATED_TIMESTAMP,LOADED_TIMESTAMP
2000-01-01,2000,1,January,1,6,52,1,2021-03-04 15:50:24.150,2021-03-04 15:50:24.150
2000-01-02,2000,1,January,2,0,52,2,2021-03-04 15:50:24.150,2021-03-04 15:50:24.150
2000-01-03,2000,1,January,3,1,1,3,2021-03-04 15:50:24.150,2021-03-04 15:50:24.150
2000-01-04,2000,1,January,4,2,1,4,2021-03-04 15:50:24.150,2021-03-04 15:50:24.150
2000-01-05,2000,1,January,5,3,1,5,2021-03-04 15:50:24.150,2021-03-04 15:50:24.150
2000-01-06,2000,1,January,6,4,1,6,2021-03-04 15:50:24.150,2021-03-04 15:50:24.150
2000-01-07,2000,1,January,7,5,1,7,2021-03-04 15:50:24.150,2021-03-04 15:50:24.150
2000-01-08,2000,1,January,8,6,1,8,2021-03-04 15:50:24.150,2021-03-04 15:50:24.150
2000-01-09,2000,1,January,9,0,1,9,2021-03-04 15:50:24.150,2021-03-04 15:50:24.150
2000-01-10,2000,1,January,10,1,2,10,2021-03-04 15:50:24.150,2021-03-04 15:50:24.150