ORIGIN_ORGANISATION_NUMBER,BUSINESS_ORGANISATION_NUMBER,ORGANISATION_CASE,ORGANISATION_SKU,CASE_SIZE,GTIN,CREATED_TIMESTAMP,LOADED_TIMESTAMP
1,17,110783229,110005152,8,,2021-02-22 18:02:23.603,2021-03-04 14:09:44.607
1,17,102272091,102158255,14,,2021-02-22 18:02:23.603,2021-03-04 14:09:44.607
1,17,103904168,103840301,12,,2021-02-22 18:02:23.603,2021-03-04 14:09:44.607
1,17,110251468,108487965,2,,2021-02-22 18:02:23.603,2021-03-04 14:09:44.607
1,17,100501401,100404264,24,,2021-02-22 18:02:23.603,2021-03-04 14:09:44.607
1,17,105314292,105314284,12,,2021-02-22 18:02:23.603,2021-03-04 14:09:44.607
1,17,100563100,100563097,8,,2021-02-22 18:02:23.603,2021-03-04 14:09:44.607
1,17,109942501,109942499,12,,2021-02-22 18:02:23.603,2021-03-04 14:09:44.607
1,17,105273187,105273179,5,,2021-02-22 18:02:23.603,2021-03-04 14:09:44.607
1,17,105274286,105274278,24,,2021-02-22 18:02:23.603,2021-03-04 14:09:44.607