ORIGIN_ORGANISATION_NUMBER,BUSINESS_ORGANISATION_NUMBER,BUSINESS_ORGANISATION_NAME,CREATED_TIMESTAMP,LOADED_TIMESTAMP
17,14012,DO NOT USE 9469,2021-02-22 18:02:23.603,2021-03-04 14:09:51.059
17,2018402,TWENTIETH CENTURY FOX HOME ENTERTAINMENT LTD (POS),2021-02-22 18:02:23.603,2021-03-04 14:09:51.059
17,1002138,PARAGON VINTNERS LTD,2021-02-22 18:02:23.603,2021-03-04 14:09:51.059
17,46305,BLACKBURN,2021-02-22 18:02:23.603,2021-03-04 14:09:51.059
17,3162,BEDFRD0650#GNFR,2021-02-22 18:02:23.603,2021-03-04 14:09:51.059
17,11298,NEW ZEALAND,2021-02-22 18:02:23.603,2021-03-04 14:09:51.059
17,1000813,ELCO LTD,2021-02-22 18:02:23.603,2021-03-04 14:09:51.059
17,22184,WORTHING,2021-02-22 18:02:23.603,2021-03-04 14:09:51.059
17,2016620,THE LAKES DISTILLERY COMPANY LIMITED,2021-02-22 18:02:23.603,2021-03-04 14:09:51.059
17,40113,GFR 3276,2021-02-22 18:02:23.603,2021-03-04 14:09:51.059
1,17,Morrisons,2021-02-22 18:02:23.603,2021-03-04 14:09:51.059
17,1000686,DIAGEO GREAT BRITAIN LIMITED,2021-03-14 19:20:11.367,2021-03-16 13:48:47.546
17,1017237,MARS PETCARE UK,2021-03-14 19:20:11.367,2021-03-16 13:48:47.546
17,2021198,NESTLE PURINA UK COMMERCIAL OPERATIONS LIMITED,2021-03-14 19:20:11.367,2021-03-16 13:48:47.546
17,1001747,MCCAIN FOODS GB LTD,2021-03-14 19:20:11.367,2021-03-16 13:48:47.546
17,1002977,SYMINGTONS LTD,2021-03-14 19:20:11.367,2021-03-16 13:48:47.546
17,1001607,KETTLE FOODS UK,2021-03-14 19:20:11.367,2021-03-16 13:48:47.546
17,1002668,SHANEEL ENTERPRISES LTD,2021-03-14 19:20:11.367,2021-03-16 13:48:47.546
17,1000144,CSM UK LTD,2021-03-14 19:20:11.367,2021-03-16 13:48:47.546
17,2007911,ONTEX RETAIL UK LTD,2021-03-14 19:20:11.367,2021-03-16 13:48:47.546
17,1001351,INCOS LTD,2021-03-14 19:20:11.367,2021-03-16 13:48:47.546
17,2464,GROCERY 0819,2021-03-14 19:20:11.367,2021-03-16 13:48:47.546
17,1001997,PRINCES FOODS LIMITED,2021-03-14 19:20:11.367,2021-03-16 13:48:47.546
17,10835,GLOUCESTER,2021-03-14 19:20:11.367,2021-03-16 13:48:47.546
17,1000599,COLETTA &  TYSON,2021-03-14 19:20:11.367,2021-03-16 13:48:47.546
17,2639,CHEESE,2021-03-14 19:20:11.367,2021-03-16 13:48:47.546
17,2957,LAUNDRY,2021-03-14 19:20:11.367,2021-03-16 13:48:47.546
17,21753,CRAIGAVON,2021-03-14 19:20:11.367,2021-03-16 13:48:47.546
17,43058,BROXBOURNE,2021-03-14 19:20:11.367,2021-03-16 13:48:47.546
17,1001020,DANIELS GROUP,2021-03-14 19:20:11.367,2021-03-16 13:48:47.546
17,10033,BLACKPOOL,2021-03-14 19:20:11.367,2021-03-16 13:48:47.546
17,40372,AGRISTO,2021-03-14 19:20:11.367,2021-03-16 13:48:47.546
17,9491,SOUTH AFRICA,2021-03-14 19:20:11.367,2021-03-16 13:48:47.546
17,28423,ER14GEORGIA-P-A,2021-03-14 19:20:11.367,2021-03-16 13:48:47.546
17,2018353,DEVON ROSE LTD,2021-03-14 19:20:11.367,2021-03-16 13:48:47.546
17,94197,truokli try,2021-03-14 19:20:11.367,2021-03-16 13:48:47.546
17,2019773,DEVONSHIRE TEA LTD (LOCAL),2021-03-14 19:20:11.367,2021-03-16 13:48:47.546
17,11205,SHEPTON MALLET,2021-03-14 19:20:11.367,2021-03-16 13:48:47.546
17,1000560,CITRUS DIRECT LTD,2021-03-14 19:20:11.367,2021-03-16 13:48:47.546
17,1002003,PROCTER & GAMBLE UK,2021-03-14 19:20:11.367,2021-03-16 13:48:47.546
17,1002881,TSUK LTD,2021-03-14 19:20:11.367,2021-03-16 13:48:47.546
17,1014284,THE TOMATO STALL,2021-03-14 19:20:11.367,2021-03-16 13:48:47.546
17,28462,MANCHESTER,2021-03-14 19:20:11.367,2021-03-16 13:48:47.546
17,45311,#MEATS,2021-03-14 19:20:11.367,2021-03-16 13:48:47.546
17,20074,ARRETON,2021-03-14 19:20:11.367,2021-03-16 13:48:47.546
17,1001053,FRAMPTONS LTD,2021-03-14 19:20:11.367,2021-03-16 13:48:47.546
17,1000017,AUNT BESSIES LTD,2021-03-14 19:20:11.367,2021-03-16 13:48:47.546
17,11610,MANCHESTER,2021-03-14 19:20:11.367,2021-03-16 13:48:47.546
17,17684,LONDON,2021-03-14 19:20:11.367,2021-03-16 13:48:47.546
17,1012983,RUHI ENTERPRISES LTD,2021-03-14 19:20:11.367,2021-03-16 13:48:47.546
17,1001280,GEORGIA-PACIFIC GB LTD,2021-03-14 19:20:11.367,2021-03-16 13:48:47.546