ORIGIN_ORGANISATION_NUMBER,BUSINESS_ORGANISATION_NUMBER,ORGANISATION_SKU,DESCRIPTION,INDIVIDUAL_UNITS,NET_QUANTITY,BASE_UNIT,BRAND,GTIN,ATTRIBUTES,CREATED_TIMESTAMP,LOADED_TIMESTAMP
1,17,110005152,MORRISONS USB / EUROPEAN TRAVEL PLUG SINGLE,,,,M MID-TIER,5010251917274,,2021-03-14 19:20:06.254,2021-03-16 13:48:57.548
1,17,100563097,G/W Nat Noodle Sweet&Sour 90g,,,,BRANDED,5050665010253,,2021-03-14 19:20:11.367,2021-03-16 13:48:57.548
1,17,102158255,'M'VALUE CRACKERS 8'S,,,,M SAVERS,5010251367321,,2021-03-14 19:20:11.367,2021-03-16 13:48:57.548
1,17,108487965,MORRISONS THE BEST VEGETABLE TEMPURA NESTS WITH SWEET CHILLI DIP 270G,,,,M THE BEST,5010251755296,,2021-03-14 19:20:11.367,2021-03-16 13:48:57.548
1,17,100404264,'M'BEEF BOURG SCE MIX 46G,,,,M MID-TIER,5010251349457,,2021-03-14 19:20:06.254,2021-03-16 13:48:57.548
1,17,103840301,'M'VALUE RED ONIONS        1KG,,,,M SAVERS,0201390000000,,2021-03-14 19:20:06.254,2021-03-16 13:48:57.548
1,17,105314284,GEFEN CHOCOLATE CAKE MIX 397G,,,,Gefen,0710069205055,,2021-03-14 19:20:06.254,2021-03-16 13:48:57.548
1,17,105273179,AYUMI SANDALWOOD BODY WASH 200ML,,,,Ayumi Naturals,5025042019730,,2021-03-14 19:20:06.254,2021-03-16 13:48:57.548
1,17,109942499,MORRISONS MARKET ST BLUEBERRIES 400G,,,,M MARKET STREET,5010251913146,,2021-03-14 19:20:11.367,2021-03-16 13:48:57.548
1,17,105274278,MALTESERS MINI BUNNY 58G,,,,Maltesers,5000159451000,,2021-03-14 19:20:06.254,2021-03-16 13:48:57.548