DAY_DATE,SOURCE_DB_ID,BUSINESS_ORGANISATION_NUMBER_FROM,ORGANISATION_LOCATION_ID,ORGANISATION_CASE,CASES_ORDERED_IN,CASES_FULFILLED_IN,CREATED_TIMESTAMP,LOADED_TIMESTAMP
2020-02-06,17,2957,983,109068279,372,372,2021-02-22 18:02:23.603,2021-03-04 14:09:39.065
2020-02-09,17,21753,971,110477694,152,152,2021-02-22 18:02:23.603,2021-03-04 14:09:39.065
2020-02-06,17,10033,806,109842851,32,32,2021-02-22 18:02:23.603,2021-03-04 14:09:39.065
2020-02-10,17,1001997,100989,100369761,224,224,2021-02-22 18:02:23.603,2021-03-04 14:09:39.065
2020-02-06,17,2464,781,100507651,27,27,2021-02-22 18:02:23.603,2021-03-04 14:09:39.065
2020-02-09,17,43058,763,110280023,51,51,2021-02-22 18:02:23.603,2021-03-04 14:09:39.065
2020-02-10,17,1000599,994,108787861,14,14,2021-02-22 18:02:23.603,2021-03-04 14:09:39.065
2020-02-07,17,10835,974,110179081,140,140,2021-02-22 18:02:23.603,2021-03-04 14:09:39.065
2020-02-10,17,1001020,993,109544095,1,1,2021-02-22 18:02:23.603,2021-03-04 14:09:39.065
2020-02-09,17,2639,971,107702897,85,34,2021-02-22 18:02:23.603,2021-03-04 14:09:39.065