BASE_FORECAST_DATE,FORECAST_DATE,SOURCE_DB_ID,SUBJECT_ORIGIN_ORGANISATION_NUMBER,SUBJECT_BUSINESS_ORGANISATION_NUMBER_FROM,SUBJECT_BUSINESS_ORGANISATION_NUMBER_TO,SUBJECT_ORGANISATION_SKU,SUBJECT_ORGANISATION_LOCATION_ID_TO,UNITS_REQUIRED,UNITS_REQUIRED_UPPER,UNITS_REQUIRED_LOWER,CASES_REQUIRED,CASES_REQUIRED_UPPER,CASES_REQUIRED_LOWER,FORECAST_COMPONENTS,CREATED_AT,MODEL_VERSION,ORIGIN_FILE,CREATED_TIMESTAMP,LOADED_TIMESTAMP
2020-02-09,2020-02-25,17,1,1001351,17,109513205,100924,,,,224,,,,,morrisons v1,,2021-02-22 18:02:23.603,2021-03-04 14:37:51.534
2020-02-08,2020-02-24,17,1,1001747,17,110261480,100957,,,,60,,,,,morrisons v1,,2021-02-22 18:02:23.603,2021-03-04 14:37:51.534
2020-02-09,2020-02-11,17,1,1002977,17,105377357,100720,,,,31,,,,,morrisons v1,,2021-02-22 18:02:23.603,2021-03-04 14:37:51.534
2020-02-10,2020-02-24,17,1,1000686,17,108829662,100711,,,,319,,,,,morrisons v1,,2021-02-22 18:02:23.603,2021-03-04 14:37:51.534
2020-02-08,2020-02-13,17,1,1001607,17,109439359,100720,,,,432,,,,,morrisons v1,,2021-02-22 18:02:23.603,2021-03-04 14:37:51.534
2020-02-10,2020-02-20,17,1,2021198,17,100426666,100983,,,,23,,,,,morrisons v1,,2021-02-22 18:02:23.603,2021-03-04 14:37:51.534
2020-02-10,2020-02-17,17,1,2007911,17,110503469,100953,,,,108,,,,,morrisons v1,,2021-02-22 18:02:23.603,2021-03-04 14:37:51.534
2020-02-10,2020-02-24,17,1,1002668,17,108044081,100945,,,,24,,,,,morrisons v1,,2021-02-22 18:02:23.603,2021-03-04 14:37:51.534
2020-02-10,2020-02-17,17,1,1017237,17,106674599,100720,,,,105,,,,,morrisons v1,,2021-02-22 18:02:23.603,2021-03-04 14:37:51.534
2020-02-08,2020-02-11,17,1,1000144,17,102385600,100989,,,,84,,,,,morrisons v1,,2021-02-22 18:02:23.603,2021-03-04 14:37:51.534